Outcome,Indicator,N,Spearman_Rho,Kendall_Tau_b,Descriptive_Bootstrap_CI_Lower,Descriptive_Bootstrap_CI_Upper,CI_Interpretation,Permutation_P_Value,Permutation_Mode,Partial_Spearman_Rho,Partial_Permutation_P_Value,Confounders_Used,Holm_Adjusted_P_Within_Outcome,BH_FDR_Adjusted_P_Within_Outcome
AI_AN_Missing,BoardingSchool_Count,13,0.7834490211171403,0.6666809066604027,0.4023728091260889,0.9720757654104693,descriptive_only_not_for_inference,0.023797620237976203,permutation,0.3819781080893356,0.20287971202879712,AI_AN_Population_Percent,0.11898810118988101,0.07139286071392861
AI_AN_Missing,Environmental_Burden_Index,13,0.20303944873415072,0.10527227119356303,-0.4872694623956746,0.6864682148955195,descriptive_only_not_for_inference,0.6285371462853715,permutation,0.47715155199334486,0.10058994100589941,AI_AN_Population_Percent,1.0,0.845015498450155
AI_AN_Missing,Federal_BoardingSchool_Presence,13,,,,,descriptive_only_not_for_inference,9.999000099990002e-05,permutation,-0.05242735874451712,0.8659134086591341,AI_AN_Population_Percent,0.0005999400059994001,0.0005999400059994001
AI_AN_Missing,Max_BoardingSchool_Duration_Years,13,0.08264462809917356,0.05194805194805195,-0.6092047422109365,0.6872457444733044,descriptive_only_not_for_inference,0.845015498450155,permutation,-0.29750132072470253,0.31826817318268175,AI_AN_Population_Percent,1.0,0.845015498450155
AI_AN_Missing,Mean_BoardingSchool_Duration_Years,13,0.08264462809917356,0.05194805194805195,-0.6092047422109365,0.6872457444733044,descriptive_only_not_for_inference,0.845015498450155,permutation,-0.29750132072470253,0.31826817318268175,AI_AN_Population_Percent,1.0,0.845015498450155
AI_AN_Missing,Schools_With_Burial_Site_Flag,13,0.3708816767268647,0.31585419498741063,-0.11640217285097516,0.7411449079956547,descriptive_only_not_for_inference,0.49465053494650535,permutation,-0.2443126791635261,0.41155884411558846,AI_AN_Population_Percent,1.0,0.845015498450155
AI_AN_Missing_Rate_per_100k_AI_AN,BoardingSchool_Count,13,0.6584047021907709,0.4156194667729049,0.1987873558512525,0.8387171016400724,descriptive_only_not_for_inference,0.08689131086891311,permutation,-0.12783782521354228,0.6771322867713229,AI_AN_Population_Percent,0.43445655434456554,0.2606739326067393
AI_AN_Missing_Rate_per_100k_AI_AN,Environmental_Burden_Index,13,-0.23724341041601307,-0.14381849910133496,-0.7404559125883894,0.4169445132668067,descriptive_only_not_for_inference,0.581041895810419,permutation,-0.2530133089367502,0.40505949405059494,AI_AN_Population_Percent,1.0,0.8715628437156284
AI_AN_Missing_Rate_per_100k_AI_AN,Federal_BoardingSchool_Presence,13,,,,,descriptive_only_not_for_inference,9.999000099990002e-05,permutation,-0.03961003803368268,0.8979102089791021,AI_AN_Population_Percent,0.0005999400059994001,0.0005999400059994001
AI_AN_Missing_Rate_per_100k_AI_AN,Max_BoardingSchool_Duration_Years,13,-0.041265513591054716,-0.03871048305693819,-0.5899137132625701,0.5605806348059869,descriptive_only_not_for_inference,0.9337066293370663,permutation,-0.6105444796174326,0.0244975502449755,AI_AN_Population_Percent,1.0,0.9337066293370663
AI_AN_Missing_Rate_per_100k_AI_AN,Mean_BoardingSchool_Duration_Years,13,-0.041265513591054716,-0.03871048305693819,-0.5899137132625701,0.5605806348059869,descriptive_only_not_for_inference,0.9337066293370663,permutation,-0.6105444796174326,0.0244975502449755,AI_AN_Population_Percent,1.0,0.9337066293370663
AI_AN_Missing_Rate_per_100k_AI_AN,Schools_With_Burial_Site_Flag,13,0.34188172937891387,0.28968272975116055,-0.1721271444651806,0.7411449079956547,descriptive_only_not_for_inference,0.5065493450654934,permutation,-0.4237145031362583,0.14528547145285473,AI_AN_Population_Percent,1.0,0.8715628437156284
AI_AN_Population_Percent,BoardingSchool_Count,13,0.8347139111456217,0.6753816335059705,0.5392157748871287,0.9664827811580896,descriptive_only_not_for_inference,0.012098790120987902,permutation,,,,0.04839516048395161,0.024197580241975807
AI_AN_Population_Percent,Environmental_Burden_Index,20,-0.2728995552902284,-0.20323471117426511,-0.7381786410375414,0.2675490600877806,descriptive_only_not_for_inference,0.24287571242875713,permutation,,,,0.7286271372862714,0.3643135686431357
AI_AN_Population_Percent,Federal_BoardingSchool_Presence,20,,,,,descriptive_only_not_for_inference,9.999000099990002e-05,permutation,,,,0.0005999400059994001,0.00029997000299970003
AI_AN_Population_Percent,Max_BoardingSchool_Duration_Years,13,0.3301241087284377,0.2709733813985673,-0.325925570454642,0.8531667063840552,descriptive_only_not_for_inference,0.42685731426857315,permutation,,,,0.8537146285371463,0.42685731426857315
AI_AN_Population_Percent,Mean_BoardingSchool_Duration_Years,13,0.3301241087284377,0.2709733813985673,-0.325925570454642,0.8531667063840552,descriptive_only_not_for_inference,0.42685731426857315,permutation,,,,0.8537146285371463,0.42685731426857315
AI_AN_Population_Percent,Schools_With_Burial_Site_Flag,13,0.6267831705280088,0.5310850045437943,0.46482951928041305,0.857008329502204,descriptive_only_not_for_inference,9.999000099990002e-05,permutation,,,,0.0005999400059994001,0.00029997000299970003
Disparity_Ratio_Diabetes,BoardingSchool_Count,13,0.5950435802226214,0.3896432500995984,0.10216556836615213,0.8651779813048817,descriptive_only_not_for_inference,0.1254874512548745,permutation,0.5924909940412524,0.032096790320967905,AI_AN_Population_Percent,0.5169483051694831,0.250974902509749
Disparity_Ratio_Diabetes,Environmental_Burden_Index,19,-0.3980673985867754,-0.2662908371668641,-0.6809209779773883,-0.012481419820217313,descriptive_only_not_for_inference,0.10338966103389662,permutation,-0.3210100748594757,0.1822817718228177,AI_AN_Population_Percent,0.5169483051694831,0.250974902509749
Disparity_Ratio_Diabetes,Federal_BoardingSchool_Presence,19,,,,,descriptive_only_not_for_inference,9.999000099990002e-05,permutation,-0.13607400014523338,0.5744425557444256,AI_AN_Population_Percent,0.0005999400059994001,0.0005999400059994001
Disparity_Ratio_Diabetes,Max_BoardingSchool_Duration_Years,13,0.19257239675825533,0.14193843787544003,-0.37679614064145345,0.6966493720750009,descriptive_only_not_for_inference,0.6153384661533846,permutation,0.0884150050330153,0.7763223677632237,AI_AN_Population_Percent,1.0,0.6153384661533846
Disparity_Ratio_Diabetes,Mean_BoardingSchool_Duration_Years,13,0.19257239675825533,0.14193843787544003,-0.37679614064145345,0.6966493720750009,descriptive_only_not_for_inference,0.6153384661533846,permutation,0.0884150050330153,0.7763223677632237,AI_AN_Population_Percent,1.0,0.6153384661533846
Disparity_Ratio_Diabetes,Schools_With_Burial_Site_Flag,13,0.39886201760873286,0.3379631847096873,0.07790439207380045,0.7507221956415715,descriptive_only_not_for_inference,0.49595040495950404,permutation,0.248827746407782,0.40635936406359363,AI_AN_Population_Percent,1.0,0.6153384661533846
Disparity_Ratio_Liver_Disease,BoardingSchool_Count,13,0.6887078474798858,0.5714767668127443,0.15896837843495096,0.9718980981731559,descriptive_only_not_for_inference,0.0608939106089391,permutation,0.32517063390355605,0.27947205279472054,AI_AN_Population_Percent,0.2435756424357564,0.12178782121787819
Disparity_Ratio_Liver_Disease,Environmental_Burden_Index,19,-0.34885818375044114,-0.18344479893717303,-0.6212224232856709,0.05990850922634489,descriptive_only_not_for_inference,0.15348465153484653,permutation,-0.2497280471207216,0.30726927307269275,AI_AN_Population_Percent,0.4604539546045396,0.2302269773022698
Disparity_Ratio_Liver_Disease,Federal_BoardingSchool_Presence,19,,,,,descriptive_only_not_for_inference,9.999000099990002e-05,permutation,-0.09209322534251793,0.7057294270572942,AI_AN_Population_Percent,0.0005999400059994001,0.00029997000299970003
Disparity_Ratio_Liver_Disease,Max_BoardingSchool_Duration_Years,13,0.0577717190274766,0.03871048305693819,-0.6147580864582832,0.6657928032593821,descriptive_only_not_for_inference,0.8802119788021198,permutation,-0.2293343458401855,0.44665533446655337,AI_AN_Population_Percent,1.0,0.8802119788021198
Disparity_Ratio_Liver_Disease,Mean_BoardingSchool_Duration_Years,13,0.0577717190274766,0.03871048305693819,-0.6147580864582832,0.6657928032593821,descriptive_only_not_for_inference,0.8802119788021198,permutation,-0.2293343458401855,0.44665533446655337,AI_AN_Population_Percent,1.0,0.8802119788021198
Disparity_Ratio_Liver_Disease,Schools_With_Burial_Site_Flag,13,0.6267831705280088,0.5310850045437943,0.46482951928041305,0.857008329502204,descriptive_only_not_for_inference,9.999000099990002e-05,permutation,0.36092377003080295,0.22317768223177684,AI_AN_Population_Percent,0.0005999400059994001,0.00029997000299970003
Disparity_Ratio_Suicide,BoardingSchool_Count,11,0.20956774188597443,0.14679516868351475,-0.5925006266756093,0.818204659661946,descriptive_only_not_for_inference,0.6685331466853315,permutation,0.033009849287949186,0.9228077192280771,AI_AN_Population_Percent,1.0,0.9512048795120488
Disparity_Ratio_Suicide,Environmental_Burden_Index,15,0.04830061395837283,0.14423743716582887,-0.475759785570724,0.6953388811971767,descriptive_only_not_for_inference,0.8866113388661134,permutation,0.09660673718286254,0.7229277072292771,AI_AN_Population_Percent,1.0,0.9512048795120488
Disparity_Ratio_Suicide,Federal_BoardingSchool_Presence,15,,,,,descriptive_only_not_for_inference,9.999000099990002e-05,permutation,-0.14617172261759517,0.5946405359464053,AI_AN_Population_Percent,0.0005999400059994001,0.00029997000299970003
Disparity_Ratio_Suicide,Max_BoardingSchool_Duration_Years,11,-0.009111640951564104,-0.03669879217087869,-0.7529054853147141,0.6585423650445036,descriptive_only_not_for_inference,0.9512048795120488,permutation,-0.29551361774110013,0.37066293370662934,AI_AN_Population_Percent,1.0,0.9512048795120488
Disparity_Ratio_Suicide,Mean_BoardingSchool_Duration_Years,11,-0.009111640951564104,-0.03669879217087869,-0.7529054853147141,0.6585423650445036,descriptive_only_not_for_inference,0.9512048795120488,permutation,-0.29551361774110013,0.37066293370662934,AI_AN_Population_Percent,1.0,0.9512048795120488
Disparity_Ratio_Suicide,Schools_With_Burial_Site_Flag,11,0.5,0.42640143271122083,0.5022883414749454,0.8006802924974737,descriptive_only_not_for_inference,9.999000099990002e-05,permutation,0.4537426064865151,0.1523847615238476,AI_AN_Population_Percent,0.0005999400059994001,0.00029997000299970003
Mean_Mortality_Disparity_Ratio,BoardingSchool_Count,13,0.5427017838141499,0.4415956834462115,-0.012305383533210179,0.9147847650231125,descriptive_only_not_for_inference,0.16928307169283072,permutation,0.20093460980798572,0.5143485651434857,AI_AN_Population_Percent,0.6771322867713229,0.33856614338566143
Mean_Mortality_Disparity_Ratio,Environmental_Burden_Index,19,-0.37258405518938803,-0.2307853922112822,-0.649892301472112,0.03137927533569911,descriptive_only_not_for_inference,0.12768723127687232,permutation,-0.2835009070396231,0.24277572242775722,AI_AN_Population_Percent,0.6384361563843616,0.33856614338566143
Mean_Mortality_Disparity_Ratio,Federal_BoardingSchool_Presence,19,,,,,descriptive_only_not_for_inference,9.999000099990002e-05,permutation,-0.12997213145924705,0.587941205879412,AI_AN_Population_Percent,0.0005999400059994001,0.0005999400059994001
Mean_Mortality_Disparity_Ratio,Max_BoardingSchool_Duration_Years,13,0.26409928698275015,0.16774542658006547,-0.4254141879256344,0.7696629213483146,descriptive_only_not_for_inference,0.5005499450054994,permutation,0.10854811327576956,0.7154284571542846,AI_AN_Population_Percent,1.0,0.5005499450054994
Mean_Mortality_Disparity_Ratio,Mean_BoardingSchool_Duration_Years,13,0.26409928698275015,0.16774542658006547,-0.4254141879256344,0.7696629213483146,descriptive_only_not_for_inference,0.5005499450054994,permutation,0.10854811327576956,0.7154284571542846,AI_AN_Population_Percent,1.0,0.5005499450054994
Mean_Mortality_Disparity_Ratio,Schools_With_Burial_Site_Flag,13,0.39886201760873286,0.3379631847096873,-0.0775791113542719,0.7412756675716695,descriptive_only_not_for_inference,0.49845015498450157,permutation,0.0934580272210468,0.7567243275672433,AI_AN_Population_Percent,1.0,0.5005499450054994
